2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.5;2.4336;5.2662;9.2806;16.6602;36.2534;116.196
0.4892;2.553;5.798;11.4002;16.152;38.708;100.1218
0.4902;2.4176;5.7064;9.3692;17.48;31.5216;108.1
0.4424;2.5184;6.2456;10.4688;15.5944;37.3026;106.646
0.5012;2.4528;5.5716;11.8774;16.1008;32.0138;94.668
0.4888;2.5228;5.7726;11.568;17.276;37.9656;110.84
0.482;2.5758;6.3624;10.41;14.072;41.1592;98.425
0.4456;2.357;5.223;9.964;16.0768;33.123;102.98
0.4712;2.519;5.612;10.228;16.684;35.764;122.4092
0.482;2.7048;5.7376;8.586;17.4732;34.484;92.8668
0.4916;2.387;6.185;9.4048;18.6288;36.7468;110.6668
0.4874;2.3294;6.5624;11.8296;19.464;41.1376;122.2448
0.434;2.391;6.7168;10.396;14.5526;35.4174;100.9772
0.4736;2.3598;5.1612;9.62;18.4;32.7844;101.6512
0.4456;2.3192;6.1254;10.8816;15.386;29.9864;98.6554
0.4996;2.4566;5.482;10.6072;15.3336;30.0512;99.859
0.48;2.4172;5.789;10.7728;17.092;35.633;98.35
0.4892;2.454;5.6992;9.1752;15.844;32.8414;119.3846
0.4936;2.3034;6.1448;10.1996;16.9312;39.9032;106.1692
0.492;2.64;5.736;10.6336;15.7564;38.408;108.3208
0.4968;2.2924;5.601;9.464;16.029;36.7552;105.1092
0.493;2.31;5.6922;10.478;18.2264;32.114;109.5192
0.452;2.544;6.2792;10.4808;17.96;39.4046;94.3032
0.4688;2.588;6.656;10.22;14.5464;33.7964;81.8248
0.464;2.4092;5.4202;10.0052;17.9928;39.0984;98.0912
0.5;2.7958;6.13;10.0624;17.4128;35.961;109.0152
0.5;2.6468;6.0686;9.8748;16.832;35.7932;89.3336
0.4688;2.3236;5.5348;9.8374;17.4682;37.3488;86.66
0.4558;2.479;5.9206;10.9756;14.9068;36.476;102.4408
0.4952;2.522;5.5104;10.0128;16.6764;35.4792;90.0874
0.3856;2.5392;5.9644;10.844;15.4652;32.038;123.28
0.492;2.6298;5.4304;9.6776;16.612;33.5924;99.2104
0.4838;2.8024;5.9304;10.4818;19.4986;38.152;103.4916
0.4552;2.5256;6.5864;9.87;15.0812;34.8904;99.476
0.4662;2.4276;5.2318;11.204;16.3896;33.8592;105.3108
0.4952;2.3374;5.5822;11.7404;16.5976;40.0546;110.9188
0.4976;2.1376;6.4706;10.5184;16.6218;39.247;107.016
0.4636;2.076;6.0224;10.6088;15.7988;42.4472;97.4802
0.4456;2.3776;5.7504;9.9336;16.6048;35.198;103.616
0.4838;2.3408;5.789;10.9224;14.2;36.2552;107.8472
0.488;2.582;5.2472;11.4328;16.7896;34.5852;110.6032
0.499;2.9366;6.0244;10.526;14.5624;38.904;84.7696
0.4874;2.547;5.3464;9.848;15.5744;33.3604;86.6264
0.4824;2.36;5.6706;9.0342;16.6072;34.1234;100.214
0.5;2.4352;6.3392;9.3888;15.5274;32.176;89.6982
0.4664;2.405;5.6956;9.7628;17.8222;32.4336;110.2568
0.458;2.0592;6.382;9.793;16.452;41.2052;99.1472
0.484;2.3184;6.065;11.3512;17.1534;39.0564;113.6926
0.491;2.7072;5.7588;11.0958;16.2442;38.7246;102.8974
0.48;2.3568;6.249;10.178;16.6408;31.864;109.7566
0.5;2.5604;5.42;9.4748;18.8932;38.5144;83.7106
0.4856;2.4776;6.9714;11.1036;18.144;34.2104;104.349
0.476;2.5196;6.0472;9.3024;14.0562;38.9672;84.185
0.467;2.6198;5.247;11.172;16.602;36.4326;99.2422
0.4736;2.3406;6.0114;9.6832;18.24;35.4734;111.6
0.478;2.4832;6.204;10.596;15.726;39.0854;105.4752
0.482;2.488;5.6412;10.4924;16.4188;35.24;91.1506
0.494;2.4224;5.6992;9.9246;16.941;35.5272;111.3732
0.4982;2.4452;5.8678;10.2556;16.976;39.1754;97.4188
0.44;2.6296;6.1328;9.214;14.2024;35.64;97.7516
0.4916;2.2416;5.0676;9.4544;14.6688;34.39;100
0.4916;2.3376;5.4002;10.9416;15.032;33.2144;111.6572
0.4888;2.522;5.42;9.922;17.1666;35.9432;101.084
0.4392;2.3608;5.8768;10.539;15.4092;35.5822;79.732
0.4916;2.2856;5.4192;11.5128;18.0752;35.754;92.4984
0.4936;2.3972;6.49;11.0404;16.0352;30.3006;98.2472
0.494;2.4156;6.1416;12.4578;17.8402;33.8194;97.1898
