2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.497;0.7366;0.8256;0.8705;0.8855;0.9211;0.9539
0.4964;0.7476;0.8257;0.8651;0.8737;0.9245;0.9528
0.461;0.7456;0.8168;0.8617;0.8897;0.9201;0.9499
0.488;0.7206;0.8252;0.8482;0.884;0.929;0.9486
0.5;0.7418;0.8285;0.8667;0.8966;0.9241;0.9543
0.4892;0.7451;0.8218;0.8588;0.8834;0.9282;0.9536
0.4902;0.7346;0.8263;0.8484;0.8969;0.9164;0.9475
0.4424;0.7278;0.8258;0.8629;0.8908;0.9209;0.9541
0.5012;0.7492;0.8233;0.8645;0.8942;0.9285;0.9507
0.4888;0.7364;0.8213;0.8633;0.8921;0.9247;0.9513
0.482;0.7448;0.8273;0.8615;0.8881;0.9245;0.9545
0.4456;0.7465;0.8111;0.8685;0.892;0.9231;0.9534
0.4712;0.7465;0.8274;0.8615;0.8888;0.9256;0.9502
0.482;0.7083;0.8249;0.8658;0.8934;0.9187;0.9559
0.4916;0.745;0.8195;0.8689;0.8917;0.9266;0.9527
0.4874;0.7421;0.8292;0.8636;0.8829;0.9206;0.9509
0.434;0.7501;0.8234;0.8588;0.8898;0.9239;0.9523
0.4736;0.7413;0.8232;0.8643;0.8859;0.9239;0.9513
0.4456;0.7403;0.8242;0.8667;0.893;0.9211;0.9544
0.4996;0.7359;0.8136;0.8631;0.8963;0.9241;0.9539
0.48;0.7309;0.8273;0.8658;0.8949;0.929;0.95
0.4892;0.7335;0.8238;0.8633;0.89;0.9243;0.9475
0.4936;0.7328;0.8211;0.8561;0.8899;0.925;0.9523
0.492;0.7452;0.8179;0.8708;0.8931;0.9201;0.9533
0.4968;0.7274;0.8249;0.8664;0.8982;0.9295;0.9526
0.493;0.7424;0.8239;0.8701;0.8889;0.9208;0.9497
0.452;0.74;0.826;0.8686;0.8906;0.9197;0.9521
0.4688;0.7476;0.8235;0.8645;0.883;0.9228;0.9499
0.464;0.745;0.8136;0.8672;0.8893;0.9288;0.9508
0.5;0.7231;0.8247;0.8719;0.8872;0.9271;0.9486
0.5;0.7402;0.8229;0.8669;0.8816;0.9281;0.947
0.4688;0.7348;0.819;0.8644;0.8854;0.925;0.9529
0.4558;0.7499;0.8111;0.8638;0.8933;0.927;0.9519
0.4952;0.7399;0.8263;0.8608;0.8867;0.9219;0.9489
0.3856;0.7421;0.8112;0.8615;0.8955;0.9209;0.9519
0.492;0.7379;0.8234;0.8648;0.8922;0.9237;0.9504
0.4838;0.736;0.8096;0.8642;0.8804;0.9148;0.955
0.4552;0.747;0.8048;0.8692;0.883;0.9262;0.9524
0.4662;0.7216;0.8228;0.8629;0.8789;0.9191;0.9499
0.4952;0.7171;0.8168;0.8614;0.8935;0.9223;0.9462
0.4976;0.7395;0.8255;0.8592;0.8907;0.9213;0.9516
0.4636;0.7274;0.8304;0.865;0.8919;0.9206;0.9511
0.4456;0.7317;0.8268;0.8693;0.8846;0.9173;0.9503
0.4838;0.7418;0.8167;0.8577;0.8869;0.9264;0.9514
0.488;0.7362;0.8159;0.8646;0.8919;0.9258;0.9477
0.499;0.7327;0.8326;0.8641;0.8907;0.9255;0.95
0.4874;0.7272;0.8107;0.8595;0.8867;0.9263;0.9463
0.4824;0.7274;0.8201;0.8615;0.8938;0.9154;0.9536
0.5;0.7492;0.8285;0.8723;0.887;0.9195;0.9505
0.4664;0.7373;0.8331;0.8723;0.8961;0.9274;0.9496
0.458;0.7239;0.8292;0.8553;0.8915;0.9243;0.9538
