2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.1;0.05;0.84;1.92;1.75;8.18;12.43
0.11;0.39;0.63;1.6;2.21;4.26;13.92
0.08;0.08;0.93;2.09;1.99;10.26;17.01
0.07;0.3;0.63;2.72;3.61;4.16;22.37
0.02;0.35;1.3;0.87;1.54;6.42;13.87
0.06;0.29;0.64;1.03;1.55;2.67;13.21
0.07;0.27;0.25;0.38;0.99;4.12;17.76
0.05;0.5;1.09;2.59;1.42;6.51;12.54
0.07;0.39;0.58;1.19;1.44;3.96;20.49
0.11;0.54;0.45;1.4;1.86;4.88;22.59
0.09;0.29;0.78;0.83;2.43;6.67;8.5
0.05;0.49;0.99;0.8;1.78;5.38;12.4
0.06;0.24;0.78;2.03;1.79;9.77;9.98
0.08;0.45;1.4;2;4.61;6.17;8.74
0.06;0.43;0.93;1.74;4.13;4.85;22.3
0.09;0.36;1.43;1.42;3.29;6.07;17.49
0.02;0.24;1.25;1.98;1.08;6.97;15.69
0.12;0.33;0.42;1.45;1.59;6.02;11.22
0.1;0.45;0.42;1.52;4.17;5.14;10.75
0.04;0.52;1.48;1.29;3.81;5.32;33.51
0.11;0.55;1.66;2.13;1.7;4.7;21.67
0.03;0.11;0.98;1.21;3.27;6.99;7.78
0.09;0.39;0.93;1.19;2.28;6.03;15.91
0.04;0.3;0.7;1.9;4.07;4.7;20.42
0.08;0.41;1.54;1.61;0.51;3.89;18.84
0.08;0.32;0.37;2.23;2.47;5.58;19.81
0.1;0.22;0.95;0.69;3.45;3.01;9.53
0.09;0.49;0.8;0.98;1.99;1.96;11.17
0.12;0.3;1.29;2.76;1.5;3.62;7.82
0.08;0.6;1.27;2.11;3.04;7.15;18.16
0.03;0.39;1.03;1.38;2.07;5.43;14.48
0.08;0.33;1.3;3.15;1.42;7.67;16
0.1;0.34;0.73;1.5;2.2;7.98;5.9
0.08;0.34;0.48;1.67;4.15;2.34;25.5
0.08;0.43;1.23;1.57;1.93;6.42;13.98
0.11;0.15;0.42;1.77;2.78;5.07;20.2
0.06;0.35;0.35;1.14;1.02;6.9;22.94
0.08;0.48;0.48;1.24;2.37;4.26;20.78
0.11;0.32;1.14;0.99;4.49;9.4;19.65
0.03;0.44;0.76;1.88;2.59;4.96;8.39
0.07;0.72;0.67;0.73;2.17;3.81;4.44
0.07;0.37;0.75;1.56;1.8;3.18;8.79
0.08;0.33;1.02;1.63;1.56;7.74;15.59
0.13;0.34;0.77;1.63;1.11;3.15;16.29
0.05;0.5;0.45;0.87;3.06;8.01;16.24
0.03;0.38;0.86;1.96;2.16;9.26;15.05
0.07;0.43;0.86;2.79;2.1;3.62;21.69
0.07;0.35;0.58;2.02;1.59;4.6;8.53
0.03;0.13;0.66;1.76;3.97;7.83;8.95
0.08;0.33;0.75;1.89;3;0.56;25.73
0.07;0.67;1.63;2.18;3.12;6.2;16.52
0.03;0.27;0.99;1.63;2.55;10.02;18.52
0.05;0.35;1.53;1.13;3.48;6.27;15.48
0.07;0.42;1;1.09;1.56;7.23;8.5
0.08;0.2;0.53;1.25;1.55;8.2;26.54
0.07;0.38;0.36;1.47;3.21;8.41;26.01
0.07;0.3;0.79;0.63;3.07;1.43;7.14
0.11;0.6;1.01;2.07;2.41;5.08;19.8
0.09;0.42;0.91;1.55;3.67;9.51;16.57
0.09;0.16;0.98;0.86;4.96;3.35;12.96
0.04;0.22;1.58;1.86;2.38;6.87;11.01
0.02;0.23;1.06;2.43;3.18;6.07;8.75
0.06;0.16;0.64;1.59;1.65;2.63;9.48
0.06;0.25;0.55;2.54;1.09;4.12;18.78
0.09;0.27;0.64;0.97;1.41;2.77;19.23
0.06;0.33;0.78;1.29;0.81;6.83;18.85
0.09;0.54;0.45;1.6;1.5;6.88;17.99
0.09;0.38;0.64;2.24;1.33;7.36;12.78
0.13;0.56;0.42;1.3;1.22;6.35;8.04
0.08;0.32;1.23;1.15;0.88;5.01;16.65
0.09;0.34;0.46;1.12;2.66;3.09;23.75
0.05;0.39;0.65;1.66;2.42;5;13.54
0.04;0.24;0.6;0.38;5.11;8.04;15.1
0.07;0.48;1.38;1.23;2.26;4.74;10.24
0.08;0.2;1.04;2.57;2.22;6.21;12.92
0.06;0.48;0.98;1.9;3.01;2.03;7.12
0.06;0.52;0.35;1.69;1.71;4;13.51
0.07;0.28;0.88;1.95;1.61;2.65;9.37
0.07;0.33;0.87;0.06;1.29;9.29;7.52
0.1;0.47;0.41;0.99;2.27;6.02;18.44
0.05;0.48;0.93;1.7;2.4;10.58;15.95
0.05;0.31;0.7;1.17;3.59;4.36;25.01
0.04;0.38;0.77;0.58;3.44;5.91;28.94
0.03;0.52;1.36;2.78;3.38;8.37;21.33
0.07;0.21;0.52;2.35;1.93;5.95;17.39
0.07;0.34;0.44;0.19;2.5;6.37;13.75
0.12;0.3;1.21;2.28;1.47;6.67;9.92
0.04;0.52;0.94;3.49;1.83;3.66;17.87
0.1;0.3;0.28;0.93;2.73;7.33;24.66
0.11;0.41;0.46;2.62;1.65;5.73;14.01
