2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.1;0.11;0.18;0.14;0.19
0.08;0.11;0.21;0.18;0.26
0.08;0.13;0.18;0.19;0.14
0.11;0.06;0.21;0.16;0.17
0.14;0.12;0.16;0.12;0.19
0.13;0.17;0.09;0.18;0.18
0.06;0.07;0.18;0.16;0.18
0.16;0.12;0.24;0.25;0.19
0.12;0.14;0.14;0.17;0.12
0.07;0.18;0.11;0.21;0.17
0.11;0.11;0.17;0.22;0.2
0.08;0.17;0.17;0.2;0.23
0.09;0.12;0.19;0.19;0.24
0.11;0.12;0.11;0.18;0.21
0.06;0.21;0.11;0.18;0.15
0.05;0.13;0.2;0.15;0.18
0.03;0.11;0.13;0.2;0.19
0.12;0.11;0.14;0.18;0.19
0.14;0.19;0.13;0.16;0.1
0.12;0.12;0.24;0.19;0.16
0.07;0.16;0.13;0.21;0.22
0.11;0.11;0.2;0.1;0.12
0.1;0.08;0.09;0.13;0.21
0.15;0.13;0.21;0.16;0.23
0.1;0.14;0.08;0.1;0.25
0.06;0.11;0.18;0.22;0.18
0.1;0.08;0.13;0.19;0.23
0.12;0.08;0.17;0.17;0.22
0.07;0.13;0.17;0.24;0.18
0.13;0.11;0.13;0.19;0.17
0.1;0.11;0.17;0.14;0.17
0.11;0.18;0.22;0.11;0.17
0.07;0.15;0.19;0.13;0.2
0.09;0.07;0.17;0.24;0.16
0.11;0.16;0.11;0.19;0.21
0.1;0.11;0.13;0.16;0.11
0.08;0.15;0.25;0.25;0.14
0.07;0.12;0.16;0.15;0.3
0.09;0.13;0.22;0.17;0.18
0.16;0.15;0.14;0.15;0.13
0.11;0.09;0.12;0.17;0.14
0.1;0.19;0.17;0.14;0.1
0.11;0.18;0.13;0.27;0.2
0.1;0.18;0.17;0.21;0.17
0.12;0.15;0.09;0.22;0.23
0.12;0.15;0.12;0.22;0.18
0.09;0.06;0.09;0.13;0.16
0.1;0.08;0.24;0.15;0.17
0.11;0.16;0.13;0.12;0.26
0.1;0.1;0.23;0.19;0.11
0.06;0.17;0.17;0.22;0.16
0.07;0.11;0.12;0.18;0.16
0.11;0.14;0.2;0.22;0.17
0.08;0.19;0.16;0.15;0.19
0.08;0.07;0.23;0.23;0.2
0.12;0.13;0.17;0.12;0.21
0.08;0.1;0.19;0.22;0.25
0.14;0.17;0.19;0.18;0.18
0.1;0.14;0.18;0.22;0.27
0.09;0.12;0.21;0.2;0.18
0.11;0.13;0.21;0.15;0.19
0.08;0.13;0.16;0.18;0.22
0.09;0.09;0.16;0.21;0.16
0.08;0.12;0.17;0.15;0.18
0.08;0.17;0.2;0.24;0.09
0.1;0.21;0.19;0.18;0.19
0.08;0.11;0.2;0.14;0.15
0.11;0.1;0.15;0.14;0.13
0.09;0.09;0.14;0.17;0.14
0.11;0.12;0.16;0.23;0.17
0.08;0.14;0.15;0.17;0.14
0.08;0.09;0.19;0.22;0.16
0.1;0.12;0.08;0.15;0.2
0.12;0.14;0.17;0.18;0.16
0.06;0.17;0.18;0.11;0.16
0.13;0.13;0.14;0.21;0.27
0.07;0.14;0.16;0.15;0.25
0.04;0.18;0.16;0.2;0.17
0.08;0.14;0.14;0.24;0.15
0.09;0.13;0.12;0.15;0.17
0.09;0.19;0.16;0.16;0.18
0.09;0.12;0.17;0.21;0.21
0.06;0.14;0.18;0.21;0.19
0.12;0.14;0.18;0.24;0.19
0.1;0.08;0.19;0.21;0.14
0.12;0.1;0.14;0.23;0.22
0.12;0.16;0.1;0.13;0.2
0.1;0.16;0.12;0.16;0.17
0.08;0.11;0.12;0.22;0.18
0.1;0.1;0.14;0.11;0.2
0.12;0.1;0.13;0.21;0.21
0.13;0.18;0.1;0.12;0.19
0.13;0.14;0.18;0.15;0.14
0.13;0.15;0.18;0.19;0.2
0.09;0.17;0.15;0.19;0.17
0.12;0.15;0.17;0.2;0.23
0.07;0.1;0.13;0.18;0.15
0.13;0.12;0.14;0.14;0.19
0.09;0.16;0.15;0.21;0.18
0.12;0.09;0.17;0.19;0.22
0.11;0.14;0.21;0.18;0.25
0.09;0.12;0.21;0.15;0.14
0.13;0.16;0.19;0.18;0.22
0.08;0.13;0.15;0.15;0.16
0.1;0.13;0.08;0.25;0.16
0.1;0.16;0.17;0.17;0.19
0.09;0.17;0.14;0.17;0.25
0.13;0.15;0.2;0.13;0.24
0.08;0.16;0.17;0.21;0.18
0.05;0.14;0.2;0.2;0.21
0.13;0.11;0.14;0.18;0.22
0.08;0.13;0.1;0.19;0.27
0.09;0.11;0.14;0.18;0.18
0.09;0.16;0.1;0.17;0.18
0.06;0.14;0.17;0.17;0.16
0.12;0.16;0.21;0.17;0.14
0.11;0.1;0.08;0.21;0.21
0.07;0.21;0.11;0.1;0.15
0.06;0.09;0.23;0.23;0.16
0.16;0.1;0.2;0.15;0.21
0.08;0.17;0.1;0.18;0.2
0.11;0.11;0.2;0.18;0.28
0.14;0.13;0.13;0.18;0.14
0.1;0.12;0.15;0.21;0.21
0.06;0.14;0.12;0.17;0.15
0.12;0.15;0.15;0.15;0.15
0.07;0.15;0.23;0.17;0.14
0.09;0.07;0.16;0.2;0.14
0.11;0.11;0.13;0.2;0.21
0.14;0.15;0.11;0.11;0.13
0.03;0.16;0.22;0.22;0.19
0.08;0.2;0.14;0.14;0.18
0.13;0.19;0.12;0.16;0.15
0.06;0.1;0.11;0.2;0.21
0.14;0.12;0.17;0.19;0.21
0.15;0.13;0.14;0.16;0.19
0.11;0.16;0.16;0.15;0.21
0.1;0.08;0.19;0.19;0.18
0.08;0.09;0.14;0.15;0.21
0.08;0.16;0.15;0.22;0.2
0.11;0.11;0.2;0.21;0.12
0.12;0.12;0.18;0.2;0.19
0.1;0.16;0.16;0.14;0.15
0.1;0.17;0.17;0.14;0.23
0.09;0.16;0.15;0.23;0.23
0.05;0.17;0.12;0.18;0.21
0.1;0.12;0.27;0.2;0.15
0.1;0.15;0.15;0.19;0.17
0.11;0.1;0.16;0.16;0.18
0.06;0.15;0.15;0.12;0.13
0.1;0.12;0.21;0.12;0.16
0.11;0.16;0.18;0.18;0.17
0.07;0.12;0.2;0.18;0.18
0.1;0.13;0.18;0.16;0.17
0.12;0.1;0.15;0.2;0.15
0.09;0.09;0.19;0.24;0.23
0.05;0.22;0.14;0.12;0.12
0.05;0.12;0.17;0.19;0.24
0.09;0.09;0.15;0.17;0.21
0.18;0.1;0.14;0.22;0.13
0.11;0.05;0.17;0.21;0.13
0.13;0.11;0.16;0.13;0.16
0.11;0.12;0.23;0.22;0.21
0.1;0.12;0.19;0.19;0.24
0.11;0.14;0.17;0.25;0.19
0.1;0.15;0.16;0.17;0.17
0.04;0.15;0.19;0.2;0.18
0.08;0.2;0.18;0.15;0.16
0.14;0.07;0.09;0.09;0.22
0.13;0.12;0.17;0.16;0.23
0.15;0.13;0.15;0.19;0.23
0.12;0.14;0.2;0.16;0.16
0.09;0.16;0.15;0.13;0.17
0.05;0.16;0.24;0.19;0.2
0.07;0.15;0.15;0.16;0.13
0.06;0.21;0.16;0.17;0.11
0.08;0.15;0.11;0.14;0.2
0.14;0.21;0.22;0.2;0.13
0.08;0.16;0.15;0.12;0.2
0.05;0.13;0.21;0.24;0.15
0.08;0.16;0.13;0.2;0.15
0.09;0.14;0.17;0.14;0.14
0.06;0.11;0.23;0.19;0.18
0.07;0.06;0.19;0.31;0.14
0.05;0.15;0.14;0.22;0.19
0.13;0.11;0.17;0.21;0.19
0.09;0.07;0.19;0.1;0.2
0.08;0.09;0.17;0.24;0.18
0.16;0.11;0.17;0.16;0.18
0.09;0.09;0.16;0.2;0.13
0.09;0.1;0.12;0.15;0.2
0.05;0.16;0.15;0.15;0.18
0.08;0.14;0.15;0.24;0.19
