2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.554;0.3494;0.1804;0.1189;0.0991
0.5286;0.3533;0.1821;0.1186;0.0937
0.5224;0.3537;0.1806;0.129;0.0949
0.518;0.3399;0.1742;0.1218;0.1045
0.53;0.3551;0.1885;0.119;0.0894
0.551;0.3362;0.1897;0.1252;0.0974
0.508;0.3344;0.1745;0.1233;0.0989
0.5234;0.3517;0.1928;0.1183;0.0872
0.5352;0.3394;0.1811;0.1176;0.0978
0.5144;0.342;0.1769;0.1205;0.0891
0.5064;0.3615;0.1757;0.1181;0.0912
0.5448;0.3429;0.1795;0.1225;0.09
0.518;0.3561;0.1734;0.1186;0.1041
0.5144;0.3371;0.1752;0.1189;0.0997
0.5176;0.3629;0.1721;0.1193;0.0935
0.502;0.3552;0.1775;0.1229;0.0882
0.5612;0.3394;0.1879;0.1248;0.0907
0.5308;0.359;0.173;0.1261;0.092
0.5112;0.3529;0.1766;0.1184;0.0954
0.5408;0.3498;0.1868;0.1273;0.0866
0.5264;0.3514;0.1795;0.1226;0.0928
0.5364;0.3416;0.188;0.1192;0.0931
0.5448;0.3333;0.173;0.1235;0.0979
0.5128;0.3658;0.1731;0.1221;0.0903
0.514;0.3575;0.1951;0.1147;0.0884
0.5336;0.3422;0.1735;0.1162;0.0904
0.5;0.3644;0.1986;0.1158;0.0903
0.5156;0.3704;0.1759;0.1172;0.092
0.518;0.3485;0.1665;0.1212;0.0923
0.511;0.3454;0.1792;0.1163;0.0927
0.4988;0.3372;0.1799;0.1184;0.0945
0.528;0.3378;0.1845;0.1214;0.0916
0.5442;0.3607;0.1797;0.13;0.0961
0.526;0.3558;0.176;0.1239;0.0895
0.503;0.3561;0.1777;0.1294;0.0915
0.5144;0.338;0.1757;0.1199;0.1044
0.511;0.341;0.1823;0.1117;0.0904
0.5684;0.3515;0.1714;0.1158;0.0966
0.528;0.3427;0.1865;0.1225;0.1001
0.5006;0.3364;0.1752;0.12;0.0873
0.5144;0.3432;0.1779;0.12;0.0896
0.5042;0.3332;0.19;0.1189;0.0935
0.5176;0.3382;0.1953;0.1289;0.0935
0.508;0.3699;0.1675;0.121;0.0976
0.5264;0.3543;0.1744;0.1227;0.0901
0.5432;0.3463;0.1769;0.1183;0.0898
0.51;0.3393;0.1912;0.1181;0.0938
0.5384;0.3395;0.1783;0.1215;0.0966
0.52;0.3548;0.1775;0.1212;0.0918
0.5024;0.336;0.1813;0.1132;0.093
0.5;0.3424;0.1755;0.1223;0.0901
0.5476;0.3498;0.178;0.1268;0.0902
0.514;0.3856;0.1868;0.1148;0.087
0.5072;0.3557;0.1766;0.1231;0.0938
0.5;0.3595;0.177;0.1196;0.0864
0.5338;0.3392;0.1691;0.1195;0.0909
0.518;0.3343;0.1697;0.1265;0.0931
0.53;0.3352;0.1775;0.1251;0.0967
0.5234;0.346;0.1726;0.1149;0.0892
0.5;0.3546;0.1852;0.1227;0.0854
0.542;0.3451;0.1765;0.1254;0.092
0.524;0.3584;0.1746;0.1264;0.0925
0.518;0.3355;0.172;0.118;0.0908
0.5064;0.3396;0.171;0.1403;0.0942
0.5224;0.339;0.1776;0.1135;0.0953
0.5128;0.3483;0.182;0.1253;0.0881
0.507;0.3548;0.1686;0.1189;0.0907
0.52;0.357;0.1923;0.1287;0.0906
0.5036;0.3557;0.1796;0.1122;0.0937
0.5192;0.3715;0.1956;0.118;0.0869
0.5126;0.3354;0.1816;0.1388;0.0896
0.5336;0.3511;0.1829;0.1297;0.0913
0.518;0.3374;0.1782;0.1276;0.086
0.5312;0.3986;0.1728;0.1234;0.0871
0.524;0.3504;0.1748;0.125;0.0905
0.5108;0.3367;0.1767;0.1247;0.0998
0.507;0.3436;0.1762;0.1172;0.0888
0.5002;0.3905;0.175;0.1296;0.0948
0.545;0.3368;0.1759;0.1223;0.0939
0.5364;0.348;0.181;0.1341;0.1038
0.5384;0.345;0.1708;0.1227;0.0911
0.5084;0.338;0.2043;0.1197;0.0973
0.5286;0.3396;0.1686;0.1212;0.0905
0.499;0.339;0.1793;0.1361;0.0984
0.5384;0.3444;0.1741;0.1211;0.094
0.5264;0.3448;0.1687;0.1316;0.0911
0.522;0.3401;0.1889;0.1267;0.0937
0.5032;0.3405;0.1863;0.1187;0.0905
0.5252;0.3612;0.1814;0.1263;0.0909
0.5084;0.359;0.1765;0.1214;0.0917
0.5154;0.3507;0.1749;0.1139;0.0978
0.536;0.336;0.1821;0.1191;0.0992
0.568;0.3383;0.1794;0.1176;0.091
0.5648;0.3656;0.1779;0.1362;0.0957
0.4984;0.3407;0.1761;0.1159;0.0919
0.5336;0.3461;0.1773;0.1188;0.0894
0.526;0.3352;0.1765;0.122;0.0867
0.534;0.3572;0.1697;0.1223;0.1073
0.5192;0.3502;0.1841;0.1284;0.0988
0.5156;0.3398;0.1734;0.1265;0.1019
0.503;0.3366;0.1784;0.1261;0.0909
