2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.09;0.18;0.58;1.56;3.3
0.07;0.13;1.18;2.89;4.81
0.18;0.28;0.82;1.49;6.32
0.07;0.26;1.18;0.87;4.99
0.12;0.37;1.35;2.82;5.57
0.14;0.17;0.84;0.95;5.17
0.11;0.07;1.79;2.95;6.78
0.14;0.17;1.45;3.96;3.4
0.13;0.44;1.04;2.45;6.23
0.1;0.24;1.28;3.66;3.55
0.13;0.37;1.2;3.53;8.62
0.08;0.21;1.48;2.04;3.64
0.14;0.22;1.33;3.28;3.94
0.09;0.17;0.75;2.75;4.89
0.06;0.25;1.6;2.38;6.1
0.07;0.19;0.65;1.43;2.29
0.1;0.1;1.04;2.73;4.68
0.07;0.18;1.29;2;6.51
0.18;0.35;1.36;3.01;3.89
0.05;0.39;1.15;3.45;5.5
0.12;0.28;0.81;3.57;4.53
0.08;0.34;1.67;2.36;6.17
0.13;0.18;0.64;2.92;7.29
0.06;0.34;1.34;2;7.23
0.09;0.21;1.18;4.39;6.68
0.15;0.24;1.34;2.94;3.83
0.11;0.36;0.76;1.89;3.88
0.09;0.13;1.62;1.61;3.82
0.1;0.26;1.17;2.52;8.47
0.11;0.21;0.86;3.08;3.16
0.09;0.22;1.31;1.6;4.07
0.04;0.28;1.19;2.46;5.1
0.09;0.27;0.86;3.8;4.23
0.07;0.3;1.07;2.24;6.5
0.1;0.23;1.27;2.06;3.97
0.05;0.23;1.46;2.75;5.1
0.12;0.28;0.79;1.8;6.67
0.06;0.24;0.98;1.68;3.31
0.12;0.3;1.76;3.72;7.66
0.12;0.25;1.45;2.78;6.01
0.12;0.24;1;2.59;2.65
0.13;0.23;1.48;2.1;5.19
0.18;0.24;1.7;1.64;3.88
0.06;0.38;0.92;2.9;7.2
0.08;0.29;0.54;3.75;4.57
0.11;0.2;0.91;2.95;5.54
0.13;0.22;0.84;2.61;3.56
0.12;0.2;0.64;2.87;7.77
0.07;0.09;1.26;2.61;3.3
0.1;0.23;1.99;2.6;4.05
0.08;0.23;1.48;3.35;7.24
0.08;0.16;0.88;2.92;3.79
0.11;0.06;1.39;2.34;3.39
0.14;0.18;1.23;1.9;3.73
0.13;0.26;0.56;2.95;6.25
0.06;0.13;1.7;1.05;7.39
0.16;0.21;1.36;5.75;4.53
0.12;0.23;1.05;2.94;3.59
0.07;0.36;0.61;3.18;5.72
0.11;0.29;1.51;1.59;5.77
0.08;0.38;1.17;2.45;5.85
0.09;0.24;0.93;3.28;6.84
0.11;0.12;0.57;2.64;4.96
0.06;0.39;0.96;3.2;4.25
0.05;0.25;1.65;2.85;6.37
0.03;0.29;0.57;2.66;5.82
0.12;0.14;0.81;2.48;5.82
0.14;0.43;1.14;2.15;3.13
0.12;0.24;2.05;2.52;6.2
0.07;0.28;1.16;2.71;6.1
0.11;0.2;1.26;1.5;4.13
0.1;0.14;0.78;1.39;4.31
0.15;0.28;1.27;1.62;6.98
0.1;0.29;0.65;1.86;8.98
0.06;0.2;1.71;4;3.89
0.1;0.23;0.76;3.78;6.99
0.12;0.14;0.99;1.71;9.16
0.07;0.25;1.31;3.45;4.45
0.13;0.23;1.08;2.78;4.1
0.1;0.14;0.74;1.9;3.57
0.11;0.3;1.35;2.22;3.04
0.07;0.33;1.67;2.07;3.28
0.09;0.1;1.29;4.48;3.14
0.11;0.28;0.82;2.51;5.56
0.1;0.2;0.98;1.9;3.37
0.08;0.33;2.05;3.43;2.56
0.07;0.12;1.19;2.45;7
0.09;0.28;0.9;2.64;4.64
0.16;0.24;1.15;2.7;4.21
0.11;0.18;0.97;2.03;3.63
0.1;0.28;1.06;2.29;3.23
0.11;0.42;0.94;4.58;5.17
0.1;0.27;1.08;2.59;3.7
0.12;0.27;1.01;2.15;6.15
0.12;0.36;0.82;2.09;3.22
0.09;0.09;0.88;2.14;4.16
0.1;0.14;2.35;2.41;4.99
0.11;0.37;1;1.5;7.68
0.1;0.25;1.61;2.3;2.6
0.06;0.32;1.59;3.4;3.75
0.07;0.26;0.84;2.94;4.06
0.11;0.32;1.76;2.51;4.76
0.08;0.4;1.39;2.43;3.15
