2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
20094.08;53651.5283333333;112053.706666667;184947.991071429;280330.481777778
20719.95;53524.3516666667;109853.263333333;184629.481785714;278713.945111111
20147.75;54908;108000;199839.911785714;280497.571777778
20213.12;53431.875;108087.55;196637.257142857;286907.027777778
20147.75;54215.7083333333;113338.71;182940.5625;313648.227777778
21334.25;55765.625;117629.845333333;183194.285714286;284682.520888889
20146.75;53896.3733333333;108031.638;183829.731071429;280331.875555556
20290.57;54886.6666666667;108901.12;182860.5175;288315.367777778
20147.75;56204.3783333333;108425.032666667;189975.971428571;277829.532444444
20000;58409.3333333333;109025.95;192636.157142857;281092.352
20053.01;56177.6483333333;116750;183190.357142857;278513.027777778
20147.25;53349.0266666667;108014.154666667;182860.4975;280337.450666667
20286.65;53473.8533333333;111818.034;186728.091428571;278321.619777778
20023.6;54476.3283333333;110796.266666667;196146.205357143;287575.416666667
20005.93;55406.1316666667;110366.901333333;187145.051428571;278170.328666667
20596;53898.7733333333;108056.277333333;184075.646785714;309219.139555556
20715.11;53652.8783333333;109143.072;184626.836785714;280904.444666667
21911.6;54467.6583333333;108172.120666667;184340.635357143;286228.715777778
21515.52;54345.3866666667;109874.423333333;186504.126071429;279086.933333333
20212.4;54105.5733333333;108013.946666667;194066.471428571;301323.25
20005.91;53582.9333333333;114218.688;183710.354285714;278837.905777778
20988.65;54101.6533333333;108689.136;185668.185357143;279217.299777778
20005.89;53649.6383333333;119408.322;183191.714285714;280925.800222222
22126.29;54098.3866666667;111401.299333333;183517.242857143;280135.687777778
20147.25;53650.9883333333;108224.426666667;195283.953928571;280313.756444444
20000;55397.315;121110.323333333;183517.522857143;298823.822222222
21510.4;54753.8683333333;110571.426;205497.811428571;281736.705555556
20023.52;53583.1466666667;109016.316666667;183021.905357143;279365.297777778
20147.25;55058.3783333333;116796.666666667;183827.253928571;278041.747777778
21702.21;56411.84;109858.200666667;184630.2375;279084.444444444
21696.43;53525.005;109693.354666667;185261.020357143;277790.695111111
