2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10963.8352261307;41671.561716792;90453.3369003895;164213.266583229;251153.914556557
10355.0070854271;40742.6758897243;91594.5007011686;160763.612719024;250452.966088088
10060.3023115578;42072.8653634085;93052.5116082359;160763.612719024;250272.772934935
10211.2611055276;40461.4127318296;93777.880556483;161412.49767209;254462.614136136
10052.7638693467;41104.7619047619;90272.9682860323;161765.928113267;250500.520520521
10869.5967839196;40524.1674310777;96194.8514245965;162608.64681164;254259.379379379
10173.4874874372;41548.0172431078;90190.3186199221;161304.738676471;265157.964046046
10173.4874874372;40403.6922431078;93052.5116082359;160360.463379224;264013.987139139
10869.5967839196;40102.7569047619;90172.7884307179;162766.735219024;255326.027277277
10072.8683919598;43189.2308897243;90160.2672008904;161525.281104506;250252.752754755
10090.4651256281;45226.8248746867;94375.4911574847;163821.292665832;254462.614136136
10302.0100502513;40110.2758897243;91255.6732387312;161011.592540676;251061.271223223
10060.3023115578;40461.4127318296;92561.9005063996;160200.250312891;253318.82007007
10780.5789447236;40461.4127318296;91363.5740456316;160222.778726533;251815.096346346
10211.2611055276;40110.2758897243;98934.7098553144;162307.594746558;250410.418610611
10060.3023115578;40102.7569047619;90453.3369003895;171841.618823529;251574.634316316
10072.8683919598;40591.9601002506;91255.6732387312;160290.367008761;250610.652124124
10050.2512562814;40140.354085213;90641.2822259321;167256.228038173;252213.442754755
10302.0100502513;40122.8080325815;90212.8582359488;160923.915897998;261524.326568569
10060.3023115578;40100.2506265664;91152.8102392877;161011.592540676;255326.027277277
10140.7686432161;40524.1674310777;90172.7884307179;160290.367008761;262210.044286286
10072.8683919598;40403.6922431078;90272.9682860323;166732.056323529;254670.894286286
10211.2611055276;40664.7947994987;90160.2672008904;162929.868338548;250410.418610611
10476.30959799;40591.9601002506;90160.2672008904;160763.612719024;252075.638520521
10413.1023115578;40403.6922431078;90212.8582359488;160403.024283479;250260.260292292
10355.0070854271;40102.7569047619;92561.9005063996;160560.765757197;269306.385907908
10140.7686432161;40102.7569047619;91363.5740456316;162766.735219024;251061.271223223
10113.0967336683;40140.354085213;90240.4078797997;169868.511689612;250372.87767968
10113.0967336683;42366.0401002506;90160.2672008904;161304.738676471;282531.125847848
10355.0070854271;40524.1674310777;95473.9980856984;170831.822981852;250452.966088088
10302.0100502513;40122.8080325815;92561.9005063996;161525.281104506;257564.570682683
10090.4651256281;40102.7569047619;90400.7234279354;160202.753444931;251574.634316316
10113.0967336683;40100.2506265664;90874.4213745131;182083.87109199;250290.290802803
10052.7638693467;40140.354085213;90150.2504173623;162766.735219024;259285.205205205
10113.0967336683;40403.6922431078;90874.4213745131;161412.49767209;253496.856088088
10544.6440201005;40303.3403634085;91717.5326933779;162608.64681164;252504.124124124
10072.8683919598;40110.2758897243;90212.8582359488;160623.368463705;252356.270832833
10173.4874874372;40223.0877318296;91363.5740456316;160403.024283479;250290.290802803
10355.0070854271;40223.0877318296;93971.9724040067;164625.505932416;252977.849691692
10113.0967336683;40351.0025062657;90573.6146967167;165510.880650814;251251.571571572
10060.3023115578;40524.1674310777;90573.6146967167;163821.292665832;250340.342934935
10302.0100502513;41429.5719423559;90453.3369003895;160360.463379224;250410.418610611
10060.3023115578;40190.4924310777;90172.7884307179;171163.250112641;255788.047409409
10211.2611055276;42366.0401002506;91594.5007011686;163449.560750939;258402.014016016
10060.3023115578;42366.0401002506;90172.7884307179;160360.463379224;262210.044286286
11063.3165829146;41548.0172431078;91594.5007011686;162455.600750939;255102.598790791
10355.0070854271;40140.354085213;96701.2532053422;160841.256370463;252504.124124124
10696.7606030151;42844.4351002506;95473.9980856984;160222.778726533;250610.652124124
10173.4874874372;40303.3403634085;90272.9682860323;161893.795294118;251692.355907908
10050.2512562814;40140.354085213;90310.5403227601;162608.64681164;256026.643475475
11168.0643718593;40122.8080325815;91594.5007011686;160210.262878598;260534.088520521
10254.0985427136;41800.2127318296;90152.7545965498;161765.928113267;251815.096346346
10060.3023115578;41104.7619047619;91054.9823094046;160763.612719024;251354.243205205
10355.0070854271;42520.3448746867;90353.1249916528;165744.930165832;250250.25025025
10173.4874874372;40260.7029573935;90172.7884307179;160690.983779725;251692.355907908
10113.0967336683;40122.8080325815;90152.7545965498;160210.262878598;264013.987139139
10140.7686432161;40742.6758897243;90791.6835614914;163271.278551314;250340.342934935
10780.5789447236;40260.7029573935;94375.4911574847;162455.600750939;254259.379379379
10254.0985427136;40122.8080325815;93777.880556483;160623.368463705;255554.509421421
10140.7686432161;40110.2758897243;93405.0062103506;172540.707133917;253318.82007007
10173.4874874372;47239.229085213;93971.9724040067;161104.287612641;250410.418610611
11514.15959799;40110.2758897243;91845.6147801892;160450.594493116;256519.019019019
10050.2512562814;40303.3403634085;90510.9668113522;160240.301176471;250452.966088088
10052.7638693467;40524.1674310777;90962.1868447412;163271.278551314;254670.894286286
10090.4651256281;41316.2187468672;90152.7545965498;160923.915897998;250973.640682683
10113.0967336683;40303.3403634085;96445.4646633278;163449.560750939;263642.939421421
10052.7638693467;40122.8080325815;90962.1868447412;161643.090663329;253496.856088088
10476.30959799;40110.2758897243;90310.5403227601;162766.735219024;265549.579691692
10869.5967839196;40162.9151002506;96962.2237952142;162026.694120776;256519.019019019
10963.8352261307;40102.7569047619;90310.5403227601;162766.735219024;250340.342934935
10140.7686432161;40102.7569047619;92561.9005063996;161104.287612641;275475.475475475
10072.8683919598;40664.7947994987;90962.1868447412;161104.287612641;257838.63988989
10140.7686432161;40110.2758897243;90713.9712020033;183534.839349186;252977.849691692
10050.2512562814;40664.7947994987;93777.880556483;160262.830491239;261524.326568569
10696.7606030151;43369.4187468672;90641.2822259321;167256.228038173;251153.914556557
10052.7638693467;40913.5961904762;90272.9682860323;160322.911142053;252657.004046046
10211.2611055276;40664.7947994987;90453.3369003895;162608.64681164;251815.096346346
10090.4651256281;40190.4924310777;90240.4078797997;173628.279852941;265549.579691692
10072.8683919598;42366.0401002506;91594.5007011686;163632.897875469;256772.803205205
10060.3023115578;41429.5719423559;90641.2822259321;160450.594493116;252814.912064064
10780.5789447236;40591.9601002506;90641.2822259321;163098.048610763;254462.614136136
10173.4874874372;40825.6080325815;91152.8102392877;160690.983779725;281387.501583584
10355.0070854271;41429.5719423559;91978.7503672788;160240.301176471;251061.271223223
10052.7638693467;40461.4127318296;91978.7503672788;168951.556198373;252356.270832833
10696.7606030151;40742.6758897243;93588.8934947134;164625.505932416;256519.019019019
10090.4651256281;40303.3403634085;93052.5116082359;161765.928113267;252213.442754755
10355.0070854271;40223.0877318296;91476.5155314413;161525.281104506;250973.640682683
10113.0967336683;41104.7619047619;90150.2504173623;172898.034045682;252356.270832833
10140.7686432161;40162.9151002506;90212.8582359488;170505.560750939;257295.576538539
10113.0967336683;40664.7947994987;93971.9724040067;160262.830491239;278083.684934935
10618.1218592965;41671.561716792;96962.2237952142;160450.594493116;255554.509421421
10113.0967336683;40461.4127318296;90172.7884307179;160923.915897998;252213.442754755
10173.4874874372;41104.7619047619;90791.6835614914;160202.753444931;258402.014016016
10113.0967336683;41933.9779573935;90453.3369003895;165510.880650814;250290.290802803
10050.2512562814;43369.4187468672;90874.4213745131;167525.979524406;252814.912064064
10072.8683919598;41933.9779573935;96445.4646633278;160450.594493116;250813.414664665
10113.0967336683;40110.2758897243;90160.2672008904;160202.753444931;252213.442754755
10173.4874874372;40190.4924310777;92883.8949415693;163098.048610763;250673.230352352
10060.3023115578;40825.6080325815;92116.9429938787;170184.458576345;257838.63988989
10052.7638693467;41429.5719423559;91845.6147801892;163449.560750939;250553.082364364
10302.0100502513;40461.4127318296;90190.3186199221;161104.287612641;274468.942574575
10355.0070854271;40303.3403634085;90962.1868447412;161525.281104506;252657.004046046
10869.5967839196;40825.6080325815;90272.9682860323;161304.738676471;256772.803205205
10696.7606030151;40742.6758897243;91476.5155314413;162929.868338548;251251.571571572
10140.7686432161;40591.9601002506;90160.2672008904;168656.18428035;268435.336586587
10052.7638693467;40260.7029573935;94584.9287479132;160841.256370463;251061.271223223
10476.30959799;40591.9601002506;90641.2822259321;162307.594746558;251354.243205205
10052.7638693467;40303.3403634085;98345.0528714524;160450.594493116;252657.004046046
10963.8352261307;40591.9601002506;92561.9005063996;160690.983779725;252075.638520521
10113.0967336683;40303.3403634085;90310.5403227601;169557.715397372;252213.442754755
10050.2512562814;41429.5719423559;99545.3302225932;160690.983779725;266348.268268268
10696.7606030151;41006.6456265664;91978.7503672788;177172.753992491;253318.82007007
10060.3023115578;40260.7029573935;90874.4213745131;160322.911142053;251461.930442442
10113.0967336683;41207.9508897243;96445.4646633278;160923.915897998;250452.966088088
10780.5789447236;42072.8653634085;91476.5155314413;161525.281104506;251251.571571572
10780.5789447236;40223.0877318296;91363.5740456316;162026.694120776;250260.260292292
10140.7686432161;40260.7029573935;90641.2822259321;160450.594493116;250272.772934935
10254.0985427136;40664.7947994987;97776.2973010573;165058.03534418;250740.81764965
10302.0100502513;40102.7569047619;90641.2822259321;163821.292665832;250452.966088088
10113.0967336683;42366.0401002506;90791.6835614914;160290.367008761;251942.856808809
10060.3023115578;42072.8653634085;91054.9823094046;160290.367008761;254462.614136136
10140.7686432161;40190.4924310777;100829.719671675;166732.056323529;251354.243205205
10113.0967336683;42366.0401002506;90190.3186199221;160450.594493116;275475.475475475
10173.4874874372;40403.6922431078;90573.6146967167;168656.18428035;259285.205205205
10060.3023115578;40403.6922431078;90962.1868447412;166477.628285357;252657.004046046
10050.2512562814;40913.5961904762;90573.6146967167;160450.594493116;250452.966088088
10050.2512562814;41429.5719423559;90453.3369003895;161412.49767209;252504.124124124
10302.0100502513;40102.7569047619;92720.3593544797;167256.228038173;250410.418610611
11063.3165829146;40303.3403634085;92260.1963327768;161765.928113267;270651.871871872
10113.0967336683;40223.0877318296;100829.719671675;160560.765757197;255102.598790791
10618.1218592965;42216.8832205514;90962.1868447412;167525.979524406;250553.082364364
10052.7638693467;40664.7947994987;91054.9823094046;183534.839349186;264390.171421421
10963.8352261307;40190.4924310777;91363.5740456316;160200.250312891;251354.243205205
10090.4651256281;41207.9508897243;90510.9668113522;161202.002503129;250272.772934935
10355.0070854271;40223.0877318296;90962.1868447412;161104.287612641;269306.385907908
10060.3023115578;41006.6456265664;90172.7884307179;160240.301176471;264013.987139139
10052.7638693467;40100.2506265664;90190.3186199221;160262.830491239;253496.856088088
10050.2512562814;43745.4277694236;90172.7884307179;161202.002503129;253318.82007007
10173.4874874372;40913.5961904762;91845.6147801892;160222.778726533;257295.576538539
10060.3023115578;41207.9508897243;90190.3186199221;160450.594493116;251354.243205205
10072.8683919598;40110.2758897243;101848.532977184;160262.830491239;250250.25025025
10060.3023115578;40122.8080325815;90400.7234279354;164014.747938048;250272.772934935
10090.4651256281;40742.6758897243;91255.6732387312;160923.915897998;257564.570682683
10052.7638693467;40403.6922431078;90190.3186199221;164416.851567584;251354.243205205
10140.7686432161;40403.6922431078;93588.8934947134;161011.592540676;250290.290802803
10140.7686432161;41933.9779573935;91255.6732387312;160240.301176471;250452.966088088
10140.7686432161;40223.0877318296;92720.3593544797;160202.753444931;250372.87767968
10140.7686432161;40303.3403634085;90874.4213745131;160200.250312891;252814.912064064
10173.4874874372;40742.6758897243;90791.6835614914;160923.915897998;272518.66846046
10211.2611055276;40162.9151002506;90510.9668113522;169252.065081352;250500.520520521
10113.0967336683;42679.806716792;97499.7387646077;161893.795294118;262916.239601602
10355.0070854271;41207.9508897243;90190.3186199221;160262.830491239;250252.752754755
10113.0967336683;41429.5719423559;90791.6835614914;160200.250312891;262916.239601602
10211.2611055276;40664.7947994987;90962.1868447412;161011.592540676;250673.230352352
10254.0985427136;40461.4127318296;90150.2504173623;160560.765757197;261189.138610611
10113.0967336683;40162.9151002506;90510.9668113522;161525.281104506;251461.930442442
10211.2611055276;43554.814047619;90573.6146967167;160503.174721527;250260.260292292
10060.3023115578;41104.7619047619;90160.2672008904;160222.778726533;251574.634316316
10072.8683919598;40664.7947994987;90272.9682860323;160403.024283479;252814.912064064
10173.4874874372;40351.0025062657;90160.2672008904;160210.262878598;250610.652124124
10254.0985427136;40461.4127318296;90874.4213745131;165281.916849186;250610.652124124
10173.4874874372;40913.5961904762;91363.5740456316;165510.880650814;250973.640682683
10140.7686432161;40524.1674310777;96194.8514245965;160841.256370463;250290.290802803
10173.4874874372;40260.7029573935;92561.9005063996;161893.795294118;250410.418610611
10211.2611055276;40403.6922431078;91152.8102392877;168951.556198373;250740.81764965
10052.7638693467;40140.354085213;91054.9823094046;173628.279852941;256519.019019019
10413.1023115578;40223.0877318296;91152.8102392877;168365.944934293;250260.260292292
10355.0070854271;40122.8080325815;90160.2672008904;160290.367008761;254061.18807007
10052.7638693467;42844.4351002506;98058.0661992209;173260.55649562;252977.849691692
10072.8683919598;40102.7569047619;91978.7503672788;160222.778726533;251461.930442442
10211.2611055276;40825.6080325815;90713.9712020033;160763.612719024;257295.576538539
10302.0100502513;40162.9151002506;95019.1880690039;160503.174721527;253145.81849049
10173.4874874372;40260.7029573935;91255.6732387312;161412.49767209;250290.290802803
10355.0070854271;43369.4187468672;91717.5326933779;163098.048610763;257295.576538539
10355.0070854271;42520.3448746867;95473.9980856984;164014.747938048;255554.509421421
10113.0967336683;40110.2758897243;93777.880556483;160262.830491239;252356.270832833
10173.4874874372;40260.7029573935;90510.9668113522;164014.747938048;254462.614136136
11063.3165829146;40110.2758897243;93052.5116082359;164213.266583229;250740.81764965
10476.30959799;41429.5719423559;92260.1963327768;160210.262878598;250500.520520521
10072.8683919598;40591.9601002506;90962.1868447412;160262.830491239;252213.442754755
10355.0070854271;40162.9151002506;90310.5403227601;160202.753444931;263642.939421421
10140.7686432161;40303.3403634085;90152.7545965498;180223.849314768;250260.260292292
10113.0967336683;40524.1674310777;90791.6835614914;160403.024283479;258117.786778779
10544.6440201005;41548.0172431078;90152.7545965498;161202.002503129;252814.912064064
10072.8683919598;41104.7619047619;90212.8582359488;160763.612719024;250610.652124124
10544.6440201005;40162.9151002506;90212.8582359488;163098.048610763;254884.221823824
10052.7638693467;40351.0025062657;90310.5403227601;163098.048610763;259285.205205205
10869.5967839196;40403.6922431078;91594.5007011686;161202.002503129;252075.638520521
10254.0985427136;40223.0877318296;96701.2532053422;160210.262878598;251942.856808809
10090.4651256281;40913.5961904762;90160.2672008904;160202.753444931;251153.914556557
10254.0985427136;40742.6758897243;98345.0528714524;160560.765757197;252657.004046046
10050.2512562814;40664.7947994987;90310.5403227601;160222.778726533;257031.654886887
10090.4651256281;40110.2758897243;93405.0062103506;161202.002503129;265549.579691692
10173.4874874372;40162.9151002506;90272.9682860323;160200.250312891;253318.82007007
10413.1023115578;41316.2187468672;92561.9005063996;163821.292665832;263277.024736737
10072.8683919598;44142.3558897243;90272.9682860323;170184.458576345;250973.640682683
10113.0967336683;40524.1674310777;90453.3369003895;163632.897875469;250813.414664665
10060.3023115578;40190.4924310777;90453.3369003895;168365.944934293;279711.809601602
10302.0100502513;40260.7029573935;91717.5326933779;160240.301176471;255554.509421421
10113.0967336683;41006.6456265664;90150.2504173623;166477.628285357;250553.082364364
10052.7638693467;40102.7569047619;90641.2822259321;161412.49767209;252504.124124124
10355.0070854271;41006.6456265664;90353.1249916528;160503.174721527;251815.096346346
10113.0967336683;40461.4127318296;90353.1249916528;160841.256370463;251153.914556557
10140.7686432161;49599.5719423559;90573.6146967167;165744.930165832;263642.939421421
10618.1218592965;43014.2397994987;90641.2822259321;161104.287612641;251815.096346346
10072.8683919598;40524.1674310777;92561.9005063996;168656.18428035;255326.027277277
10090.4651256281;40524.1674310777;90160.2672008904;162026.694120776;250410.418610611
10060.3023115578;40122.8080325815;91054.9823094046;160222.778726533;259285.205205205
10544.6440201005;40461.4127318296;90353.1249916528;165058.03534418;261189.138610611
10090.4651256281;40102.7569047619;91363.5740456316;160210.262878598;250290.290802803
10544.6440201005;40122.8080325815;90453.3369003895;161893.795294118;255788.047409409
10544.6440201005;41316.2187468672;90791.6835614914;168951.556198373;250312.814064064
10090.4651256281;40190.4924310777;90160.2672008904;162766.735219024;250973.640682683
10052.7638693467;42072.8653634085;92720.3593544797;166477.628285357;251461.930442442
10211.2611055276;41316.2187468672;90962.1868447412;163632.897875469;259899.452124124
10072.8683919598;40140.354085213;90874.4213745131;174001.209561952;250290.290802803
10113.0967336683;40260.7029573935;90791.6835614914;165510.880650814;252356.270832833
10963.8352261307;40591.9601002506;90212.8582359488;160623.368463705;253318.82007007
10050.2512562814;43745.4277694236;90240.4078797997;160923.915897998;265549.579691692
10140.7686432161;42072.8653634085;90791.6835614914;164014.747938048;250272.772934935
10052.7638693467;40102.7569047619;96701.2532053422;168365.944934293;250553.082364364
10113.0967336683;40303.3403634085;90874.4213745131;161202.002503129;266755.348790791
10869.5967839196;40303.3403634085;91054.9823094046;161525.281104506;253145.81849049
10060.3023115578;43369.4187468672;90453.3369003895;162766.735219024;251461.930442442
10113.0967336683;40913.5961904762;90310.5403227601;161893.795294118;268868.269901902
10140.7686432161;40260.7029573935;90874.4213745131;163632.897875469;250500.520520521
10050.2512562814;42072.8653634085;93226.2138286032;161011.592540676;250290.290802803
10060.3023115578;40102.7569047619;92116.9429938787;162929.868338548;250452.966088088
10780.5789447236;40223.0877318296;90172.7884307179;161104.287612641;254884.221823824
10355.0070854271;40110.2758897243;90713.9712020033;161011.592540676;250610.652124124
10140.7686432161;41104.7619047619;91152.8102392877;160763.612719024;254462.614136136
10211.2611055276;41933.9779573935;95473.9980856984;162929.868338548;251251.571571572
10476.30959799;41316.2187468672;91978.7503672788;163098.048610763;250673.230352352
10618.1218592965;40351.0025062657;91594.5007011686;160841.256370463;254259.379379379
10060.3023115578;40742.6758897243;97228.383311074;163271.278551314;251692.355907908
10052.7638693467;40260.7029573935;90791.6835614914;164416.851567584;251692.355907908
10072.8683919598;42366.0401002506;90353.1249916528;163449.560750939;251461.930442442
10052.7638693467;40742.6758897243;108096.756460768;160210.262878598;280265.081403403
10413.1023115578;42216.8832205514;91152.8102392877;160923.915897998;250372.87767968
10355.0070854271;40122.8080325815;90453.3369003895;160503.174721527;257838.63988989
10050.2512562814;40162.9151002506;91255.6732387312;165058.03534418;251692.355907908
10052.7638693467;41316.2187468672;90641.2822259321;166991.588285357;257295.576538539
10413.1023115578;40742.6758897243;90353.1249916528;160200.250312891;277024.626388388
10696.7606030151;41006.6456265664;95473.9980856984;165984.068886108;254670.894286286
10254.0985427136;40162.9151002506;90874.4213745131;163098.048610763;253145.81849049
10090.4651256281;40303.3403634085;91255.6732387312;160560.765757197;254259.379379379
10211.2611055276;40591.9601002506;90212.8582359488;162608.64681164;251461.930442442
10211.2611055276;42844.4351002506;94584.9287479132;166991.588285357;250891.022094094
10072.8683919598;40825.6080325815;92561.9005063996;160210.262878598;267585.001643644
10618.1218592965;40351.0025062657;90160.2672008904;160403.024283479;260214.220142142
10060.3023115578;40122.8080325815;91363.5740456316;164014.747938048;250553.082364364
10072.8683919598;44560.2969423559;90152.7545965498;165058.03534418;251942.856808809
10072.8683919598;40591.9601002506;90310.5403227601;160923.915897998;287318.536298298
10050.2512562814;41006.6456265664;90152.7545965498;160240.301176471;261524.326568569
10476.30959799;41316.2187468672;91255.6732387312;162164.626583229;250553.082364364
10113.0967336683;41006.6456265664;90353.1249916528;160450.594493116;250272.772934935
10869.5967839196;43189.2308897243;90172.7884307179;165744.930165832;252213.442754755
10050.2512562814;40110.2758897243;90453.3369003895;160262.830491239;250410.418610611
10090.4651256281;40524.1674310777;94171.1741791875;172540.707133917;254462.614136136
10140.7686432161;47239.229085213;90400.7234279354;161104.287612641;258691.324316316
10072.8683919598;40461.4127318296;90510.9668113522;163271.278551314;251354.243205205
10140.7686432161;40162.9151002506;94375.4911574847;160222.778726533;250500.520520521
10173.4874874372;40664.7947994987;92116.9429938787;160503.174721527;254670.894286286
10302.0100502513;43745.4277694236;90791.6835614914;162026.694120776;275475.475475475
10254.0985427136;40351.0025062657;98637.2648636617;161202.002503129;250973.640682683
10060.3023115578;41006.6456265664;90190.3186199221;161202.002503129;254061.18807007
10544.6440201005;43369.4187468672;90160.2672008904;164625.505932416;252657.004046046
10090.4651256281;40223.0877318296;90272.9682860323;161202.002503129;253145.81849049
10302.0100502513;41429.5719423559;92408.5141903172;160841.256370463;254884.221823824
10211.2611055276;40825.6080325815;90172.7884307179;162608.64681164;268868.269901902
10072.8683919598;40223.0877318296;92561.9005063996;160360.463379224;252075.638520521
10254.0985427136;40591.9601002506;90310.5403227601;170831.822981852;251574.634316316
10696.7606030151;40524.1674310777;90310.5403227601;168656.18428035;250973.640682683
