2 Raters;4 Raters;6 Raters;8 Raters;10 Raters
10361.0368;40302.6129333333;90062.5006666667;160202.514464286;250009.999466667
10303.226;40002.4999666667;92407.34344;160360.0504;269035.96772
10090.0648;40002.4997;91211.2842133333;162563.050057143;250810.20016
10062.53;40040.0021333333;90089.99232;169656.100542857;250122.497168889
10062.53;42260.11;90009.9997866667;161103.08275;282248.308128889
10303.226;40422.8549;95314.6584533333;170617.998392857;250202.49748
10250.42;40022.5006;92407.4843866667;161323.304835714;257306.77024
10040.0096;40002.4993;90250.044;160002.499807143;251322.993733333
10062.53;40000;90722.9469866667;181855.652328571;250039.998791111
10002.5;40040.0016;90000;162563.137828571;259025.392
10062.53;40302.6694;90722.9469866667;161210.643028571;253243.28896
10491.8816;40202.5783;91564.65;162405.314357143;252251.564
10022.5;40010;90062.4906666667;160422.585707143;252103.894191111
10122.598;40122.5098;91211.2067733333;160202.5162;250039.999786667
10303.226;40122.5163333333;93815.31696;164419.5004;252724.72156
10062.52;40250.0833333333;90422.64872;165303.799342857;251000.302222222
10010;40422.7704;90422.6442133333;163616.4258;250090.00064
10250.5;41325.3918666667;90302.5709866667;160160.007314286;250160.00512
10010;40090.0108;90022.50024;170949.148257143;255532.229417778
10160.192;42259.99;91441.81248;163244.804457143;258143.53908
10010;42259.72;90022.49892;160159.995885714;261947.71892
11007.92;41443.9744;91441.82016;162252.494285714;254847.339591111
10303.1776;40039.9904;96540.02376;160640.168228571;252251.568
10643.2256;42737.3104;95314.8277333333;160022.500128571;250360.03584
10122.6176;40202.5648;90122.4810533333;161691.356828571;251440.61696
10000;40039.9984;90160.02048;162405.369271429;255770.45504
11112.202;40022.5009;91441.78944;160009.999628571;260273.186702222
10202.824;41695.408;90002.4997866667;161563.647321429;251563.080555556
10009.9976;41002;90903.222;160562.643035714;251102.8822
10303.0808;42413.9999666667;90202.5324;165537.615871429;250000
10122.598;40160.0448;90022.49952;160490.0742;251440.59392
10062.52;40022.4973;90002.49992;160009.999857143;263749.724906667
10090.0576;40640.7253333333;90640.3345066667;163066.86625;250090.00144
10726.546;40160.0256;94217.8755466667;162252.487857143;254005.048888889
10202.7916;40022.4973;93621.2439466667;160422.586914286;255298.736728889
10090.0576;40009.9984;93248.8992;172324.76;253065.347444444
10122.6176;47120.4404666667;93815.15472;160902.894521429;250160.001422222
11456.4736;40010;91692.40656;160250.013571429;256262.388888889
10000;40202.5621;90360.0672;160040.000228571;250202.509
10002.4996;40422.8549;90810.55728;163067.12875;254416.14656
10040.0128;41212.8556;90002.4999066667;160722.7601;250722.651564444
10062.52;40202.5648;96284.3666666667;163245.221028571;263378.821608889
10002.5;40022.5;90810.57024;161441.016228571;253243.31776
10423.852;40009.9996;90160.01536;162562.991542857;265283.71104
10814.6656;40062.5033333333;96800.0192;161824.098592857;256262.355555556
10908.998;40002.4997333333;90160.0085333333;162563.247542857;250090
10090.0648;40002.4998333333;92407.5997066667;160902.886785714;275199.422222222
10022.4928;40563.085;90810.55296;160902.853264286;257580.542444444
10090.036;40010.0001333333;90562.731;183304.630857143;252724.83772
10000;40563.13;93621.2246933333;160062.501428571;261262.54188
10643.072;43260.8224;90490.18816;167046.918235714;250902.740666667
10002.4996;40811.3068;90122.51176;160122.5049;252404.19136
10160.1536;40563.1075;90302.5726;162405.314357143;251563.266666667
10040.0128;40090.0096;90090.00144;173411.189785714;265283.11616
10022.4928;42260.11;91441.81248;163428.279135714;256515.52812
10010;41325.7798;90490.1986133333;160250.017857143;252562.002488889
10726.3148;40490.4704;90490.1907733333;162894.120314286;254208.095862222
10122.598;40723.5404;91000.8586666667;160490.1162;281104.06332
10303.226;41325.9385;91825.43544;160040.000114286;250810.18144
10002.4996;40360.2544;91825.37712;168740.26885;252103.849337778
10643.2768;40640.7509333333;93432.8678933333;164419.5886;256261.922222222
10040.0096;40202.5648;92897.21344;161563.642857143;251961.195164444
10303.0808;40122.5196;91323.9670933333;161323.31995;250722.619453333
10062.53;41001.9866666667;90000;172681.859742857;252103.774582222
10090.0648;40062.5;90062.4983333333;170292.341028571;257038.130524444
10062.53;40563.115;93815.19528;160062.497857143;277805.05
10564.93;41567.3541666667;96800.2715733333;160250.025;255298.746133333
10062.53;40360.2304;90022.5;160722.741521429;251961.167288889
10122.6176;41001.76;90640.3242666667;160002.49995;258143.39468
10062.53;41828.9881;90302.55808;165303.829571429;250040.000071111
10000;43260.4768;90722.9431333333;167316.0982;252561.879608889
10022.5036;41828.9881;96284.6666666667;160250.028571429;250562.581
10062.52;40009.9994666667;90009.9996266667;160002.499971429;251961.202133333
10122.5588;40090.0144;92728.97592;162894.070771429;250422.536053333
10010;40723.5404;91963.35552;169971.2053;257580.421444444
10002.5;41325.9914;91692.4516266667;163245.156228571;250302.523662222
10250.48;40360.2496;90040.0002133333;160902.884207143;274193.969955556
10303.0808;40202.5729;90810.51408;161323.338842857;252404.289595556
10814.9896;40723.5115;90122.5065333333;161103.07015;256515.89804
10642.816;40640.8106666667;91324.0094133333;162726.155928571;251000.295111111
10090.0648;40490.4769333333;90009.9995733333;168444.961571429;268166.475777778
10002.4988;40160.0341333333;94426.55808;160640.202971429;250810.1944
10423.852;40490.4704;90490.1855466667;162104.530414286;251102.8626
10002.5;40202.5648;98180.93868;160250.028571429;252404.323764444
10908.998;40490.392;92407.5100133333;160490.1092;251823.553
10062.47;40202.5729;90160.0008533333;169345.47755;251961.188195556
10000;41325.6211;99378.85492;160490.1092;266081.749333333
10643.2256;40904.0523;91825.44516;176951.011885714;253065.412777778
10010;40160.0384;90722.9624;160122.5049;251210.451733333
10062.52;41104.8961;96284.7;160722.722942857;250202.50828
10726.546;41967.5264;91323.9670933333;161323.365292857;251000.272
10726.6616;40122.5245;91211.1293333333;161823.99445;250009.999715556
10090.0648;40160.0469333333;90490.2064533333;160250.016428571;250022.49864
10202.824;40563.115;97613.1586666667;164851.4224;250490.071431111
10250.5;40002.4999333333;90490.20384;163616.2814;250202.51116
10062.53;42259.99;90640.3447466667;160090.0018;251690.8112
10010;41967.6570666667;90903.2027466667;160090.003342857;254208.095862222
10090.0576;40090;100660.52;166523.43805;251102.86848
10062.52;42259.72;90040.00064;160250.027857143;275199.466666667
10122.5588;40302.6411666667;90422.6442133333;168445.057685714;259025.696
10010;40302.6734333333;90810.54;166269.303571429;252404.315222222
10000;40811.2636;90422.6261866667;160250.013571429;250202.50396
10000;41325.7798;90302.5322666667;161210.615371429;252251.52
10250.42;40002.4999333333;92565.8026666667;167046.878107143;250159.999715556
11008;40202.5675;92106.3798133333;161563.660714286;270380.392
10062.5;40122.4951;100661.196;160360.056571429;254847.365404444
10564.93;42111.2464;90810.56592;167316.410628571;250302.516671111
10002.5;40563.1225;90903.2123733333;183304.565028571;264125.375
10908.5648;40090.0144;91211.2584;160000;251102.8822
10040;41104.9255;90360.07872;161000.494285714;250022.49972
10303.1776;40122.5261333333;90810.46224;160902.881628571;269036.60688
10009.9976;40904.0884;90022.4988;160040.000114286;263749.846595556
10002.5;40000;90039.99552;160062.501428571;253243.33504
10000;43635.6069333333;90022.49964;161000.482857143;253065.336555556
