2 Raters;3 Raters
0.87;0.7
0.93;0.786666666666667
0.92;0.746666666666667
0.93;0.713333333333333
0.93;0.8
0.89;0.766666666666667
0.96;0.813333333333333
0.96;0.726666666666667
0.85;0.766666666666667
0.95;0.76
0.91;0.846666666666667
0.93;0.826666666666667
0.91;0.813333333333333
0.95;0.826666666666667
0.93;0.833333333333333
0.96;0.853333333333333
0.91;0.833333333333333
0.97;0.866666666666667
0.92;0.84
0.9;0.846666666666667
0.94;0.67
0.94;0.663333333333333
0.95;0.683333333333333
0.96;0.696666666666667
0.93;0.723333333333333
0.93;0.683333333333333
0.92;0.673333333333333
0.87;0.623333333333333
0.96;0.633333333333333
0.9;0.636666666666667
