2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.15;0.22;2.28;3.35;7.3
0.13;0.32;1.74;4.01;9.24
0.15;0.35;1.54;5.07;7.9
0.24;0.22;1.11;4.66;7.38
0.12;0.28;2.41;3.25;10.64
0.14;0.39;2.5;5.99;7.92
0.18;0.43;2.42;3.43;8.81
0.13;0.36;1.3;3.98;7.8
0.15;0.36;1.84;3.93;5.8
0.18;0.45;1.36;3.76;6.81
0.1;0.64;1.86;4.08;5.5
0.18;0.36;1.38;3.74;6.94
0.14;0.31;1.29;4.46;4.17
0.16;0.3;1.66;4.29;6.32
0.13;0.25;1.55;4.02;4.95
0.17;0.23;2.04;4.78;6.28
0.14;0.29;1.43;3.68;6.08
0.11;0.23;1.6;2.82;8.3
0.14;0.47;1.3;4.12;8.02
0.13;0.3;1.49;5.78;8.51
0.16;0.42;1.28;4.08;6.74
0.18;0.42;1.01;2.82;10.74
0.13;0.38;1.95;5.4;8.28
0.19;0.31;1.28;3.04;7.97
0.15;0.41;1.37;3.3;7.87
0.1;0.48;2.44;2.14;8.11
0.11;0.26;1.67;4.09;3.97
0.1;0.45;2.15;2.62;6.33
0.09;0.41;1.67;6.9;7.08
0.16;0.39;1.97;4.94;7.98
0.05;0.33;1.44;4.95;8.33
0.16;0.26;1.25;5.33;5.1
0.2;0.58;1.92;2.73;4.65
0.14;0.37;1.37;5.38;8.68
0.14;0.3;1.82;6.89;7.64
0.09;0.46;1.34;4.78;6.41
0.14;0.51;2.15;1.97;6.59
0.19;0.32;2.42;1.54;5.9
0.17;0.35;2.12;1.88;6.46
0.18;0.35;1.59;2.84;6.27
0.17;0.32;1.26;2.2;6.68
0.14;0.31;1.14;5.55;11.3
0.12;0.3;1.61;5.29;5.78
0.13;0.42;1.71;3.94;4.89
0.19;0.35;1.8;2.57;5.8
0.17;0.42;1.37;3.86;6.12
0.13;0.34;1.78;4.61;6.77
0.21;0.36;1.69;3.52;8.78
0.13;0.32;1.96;3.7;6.57
0.1;0.49;1.74;4.84;5.64
0.16;0.31;2.06;4.84;5.97
0.12;0.35;3.46;3.8;8.61
0.11;0.48;2.56;4.79;5.98
0.15;0.38;1.46;4.2;7.79
0.16;0.27;1.73;4.13;6.4
0.14;0.3;1.13;4.53;5.65
0.13;0.47;1.08;4.44;8.74
0.14;0.32;1.75;4.73;7.13
0.19;0.36;1.86;3.73;5.44
0.12;0.44;2.07;4.01;5.57
0.16;0.42;2.29;4.58;8.14
0.17;0.4;1.19;4.34;11.75
0.19;0.37;1.5;5.38;6.56
0.15;0.31;2.18;6.14;7.71
0.17;0.34;1.11;3.86;7.84
0.17;0.29;1.04;3.98;7.88
0.07;0.3;2.45;3.93;9.98
0.2;0.46;1.43;4.16;3.41
0.13;0.41;1.94;3.63;6.21
0.18;0.37;1.65;2.08;5.92
0.18;0.46;2.32;2.29;8.64
0.17;0.36;4.17;4.84;5.93
0.15;0.29;1.25;3.56;5.4
0.13;0.37;1.2;3.75;5.64
0.18;0.46;1.52;4.06;5.33
0.12;0.41;1.93;3.85;6.8
0.12;0.51;1.42;2.45;6.09
0.12;0.28;1.69;3.15;4.13
0.16;0.22;1.48;4.25;6.31
0.15;0.51;2.74;3.19;7.95
0.13;0.42;1.09;1.97;9.33
0.13;0.27;1.8;4.68;6.33
0.13;0.35;1.57;4.16;6.84
0.12;0.66;1.06;6.02;6.61
0.19;0.33;2.07;5.43;3.78
0.1;0.27;1.85;4.14;10.97
0.11;0.34;2.14;3.39;6.93
0.19;0.31;1.45;3.33;6.22
0.16;0.34;1.23;3.08;10.59
0.11;0.29;1.88;4.62;4.41
0.16;0.42;1.23;5.48;8.51
0.21;0.32;2.17;3.85;9.36
0.19;0.47;1.98;3.05;8.18
0.18;0.3;1.44;4.33;8.19
0.17;0.4;0.95;4.8;6.76
0.14;0.35;1.88;4.61;9.53
0.09;0.47;1.6;3.28;8.09
0.17;0.35;2.61;2.97;7.23
0.21;0.3;1.72;3.5;9.62
0.13;0.38;1.97;3.28;9.78
0.14;0.49;1.81;4.09;6.22
0.15;0.41;1.13;4.6;8.85
0.12;0.31;2.13;4.37;6.91
0.17;0.29;1.54;3.76;5.37
0.13;0.33;2.23;3.99;8.72
0.18;0.34;2.31;3.28;8
0.14;0.49;0.85;3.42;5.38
0.14;0.3;1.37;2.44;10.69
0.14;0.2;2.06;2.66;8.87
0.12;0.34;2.08;3.72;5.25
0.16;0.46;1.04;3.4;9.06
0.22;0.31;1.51;3.03;8.74
0.17;0.34;1.73;2.75;9.35
0.17;0.39;2.21;3.82;9.67
0.16;0.3;1.42;4.56;6.88
0.18;0.34;2.43;2.93;4.49
0.12;0.43;1.04;4.31;6.68
0.12;0.38;2.19;4.08;8.43
0.14;0.22;1.58;3.45;4.04
0.17;0.51;1.94;4.9;6.32
0.16;0.48;1.2;4.54;6.91
0.14;0.28;1.09;6.13;6.41
0.06;0.44;2.05;5.26;6.36
0.08;0.39;2.1;3.25;6.77
0.19;0.33;1.1;3.9;3.57
0.28;0.38;1.24;5.17;9.57
0.15;0.3;2.37;4.34;4.23
0.15;0.55;1.82;3.57;5.96
0.16;0.33;1.24;3.54;7.99
0.12;0.46;2.33;4.02;2.74
0.16;0.53;1.52;3.78;6.06
0.12;0.44;1.49;3.85;6.09
0.14;0.32;1.11;5.82;6.38
0.19;0.41;1.59;3.46;6.21
0.11;0.37;2.33;3.07;5.02
0.13;0.31;1.52;5;9.15
0.14;0.27;1.49;2.57;4.26
0.06;0.49;1.92;3.75;6.18
0.11;0.46;1.94;5.07;5.18
0.17;0.46;1.67;5.17;9.34
0.19;0.45;1.41;5.86;6.72
0.23;0.33;1.5;3.24;6.41
0.2;0.29;1.31;2.41;9.25
0.13;0.49;2.09;3.44;3.59
0.18;0.49;1.56;3.72;7.04
0.09;0.15;1.44;1.8;2.94
0.1;0.27;1.8;5.19;9.27
0.13;0.35;1.49;4.81;7.35
0.14;0.22;2.17;4.44;5.94
0.06;0.3;1.83;3.8;6.23
0.15;0.41;1.47;3.34;10.06
0.12;0.33;1.79;5.64;9.54
0.11;0.38;2.06;4.11;4.43
0.24;0.45;1.8;4;5.09
0.13;0.28;2.4;2.97;7.22
0.13;0.43;1.68;4.66;7.28
0.24;0.29;2.18;4.16;6.38
0.14;0.27;2.25;1.79;7.23
0.15;0.47;1.08;2.71;7.03
0.15;0.38;1.05;3.88;8.12
0.13;0.51;1.05;3.01;8.56
0.16;0.41;1.59;4.23;6.54
0.11;0.34;1;4.74;7.17
0.08;0.59;1.64;4.42;10.34
0.14;0.33;1.32;2.88;6.92
0.17;0.43;2.64;4.45;6.75
0.18;0.41;1.54;3.61;7.07
0.13;0.34;2.46;4.09;9.69
0.13;0.33;1.29;3.25;6.24
0.08;0.44;2.63;5.68;9.65
0.2;0.5;2.23;5.67;6.86
0.05;0.44;1.37;3.74;6.72
0.13;0.33;1.35;3.59;6.57
0.11;0.64;1.68;4.63;5.84
0.09;0.33;1.71;3.95;5.56
0.11;0.43;1.2;3.78;8.38
0.13;0.38;1.41;4.42;9.47
0.17;0.27;2.07;5.79;8.67
0.09;0.42;1.47;5.91;3.23
0.14;0.25;1.73;5.5;6.93
0.18;0.29;1.42;3.8;8.11
0.11;0.26;2.17;3.75;7.36
0.14;0.57;1.46;3.05;5.82
0.16;0.47;1.53;4.06;6.53
0.09;0.28;1.98;3.6;5.25
0.08;0.31;1.88;5.47;7.24
0.15;0.41;1.84;4.64;7.6
0.15;0.41;1.76;4.54;6.86
0.18;0.26;1.45;4.04;4.47
0.17;0.29;2.74;4.05;7.77
0.19;0.19;2.04;3.66;9.71
0.17;0.57;1.37;3.47;6.47
0.16;0.36;0.97;3.51;8.95
0.1;0.37;1.42;2.53;5.77
0.15;0.49;1.47;5.04;7.33
0.19;0.55;1.91;4.68;8.25
0.13;0.46;1.59;4.41;6.07
0.17;0.35;1.36;2.54;4.48
0.13;0.49;1.4;5.81;5.35
0.1;0.36;2.06;2.76;6.32
0.16;0.59;1.65;3.84;7.53
0.15;0.37;2.2;3.37;9.49
0.12;0.47;1.25;3.45;6.33
0.21;0.28;1.65;3.63;6.32
0.1;0.44;1.34;5.08;9.66
0.17;0.38;1.51;4.86;5.05
0.14;0.42;1.8;3.45;5.59
0.13;0.21;1.25;5.19;5.06
0.13;0.52;1.82;2.68;5.5
0.22;0.38;2.58;3.95;7.58
0.15;0.46;2.11;3.56;8.63
0.13;0.34;2.39;3.45;6.7
0.18;0.28;1.86;4.22;8.77
0.2;0.34;1.52;4.72;9.23
0.06;0.23;2.47;3.67;6.37
0.11;0.47;1.4;2.5;10.09
0.15;0.37;2.12;5.15;8.05
0.14;0.25;1.85;5.12;4.76
0.18;0.42;1.49;3.21;5.5
0.19;0.48;2.06;3.97;7.28
0.14;0.38;2.15;3.33;5.03
0.12;0.33;1.18;3.91;3.5
0.2;0.43;1.67;4.99;5.63
0.16;0.4;1.68;4.13;9.39
0.13;0.38;0.72;6.28;6.08
0.15;0.37;0.77;4.52;7.2
0.14;0.26;1.06;4.14;8.22
0.15;0.49;2.04;2.96;9.13
0.19;0.22;1.76;2.44;5.25
0.11;0.41;2.1;3.3;7.46
0.15;0.23;1.97;2.74;9.44
0.15;0.52;1.08;3.15;6.66
0.15;0.37;1.43;3.62;8.17
0.15;0.62;2.88;4.2;7.92
0.13;0.46;1.39;5.14;7.19
0.12;0.29;1.04;5.5;6.48
0.14;0.24;1.96;3.88;6.02
0.17;0.36;1.75;3.87;8.39
0.13;0.35;1.77;4.1;8.06
0.18;0.27;2.48;3.79;5.23
0.13;0.29;2.66;3.95;7.45
0.09;0.42;1.62;3.84;5.61
