2 Raters;4 Raters;6 Raters;8 Raters;10 Raters;12 Raters;14 Raters;16 Raters
32100;119466.666666667;264780;467657.142857143;728055.555555556;1045963.63636364;1421376.92307692;1854293.33333333
28750;115000;258750;460000;718750;1035000;1408750;1840000
