2 Cat.;3 Cat.;6 Cat.;9 Cat.;12 Cat.
0.06;0.11;1.23;2.04;6.39
0.02;0.08;0.34;1.88;2.49
0.04;0.13;0.44;1.02;2.28
0.07;0.17;0.2;1.69;3.26
0.07;0.07;0.69;1.57;4.23
0.03;0.13;0.74;1.94;3.39
0.06;0.13;1.27;1.8;4.1
0.05;0.14;0.63;0.7;3.46
0.03;0.12;0.41;0.5;2.02
0.01;0.13;0.57;3.11;2.9
0.07;0.11;0.46;1.37;1.39
0.01;0.25;0.53;1.36;3.54
0.06;0.12;0.55;2.94;2.23
0.05;0.11;0.59;1.27;4.99
0.07;0.19;1.35;0.96;3.71
0.04;0.07;0.76;0.87;4.85
0.06;0.13;0.42;0.7;2.44
0.03;0.21;0.37;1.86;1.99
0.03;0.07;0.84;1.92;4.82
0.04;0.11;0.51;1.09;3.42
0.03;0.06;0.37;1.2;2.98
0.04;0.11;0.76;2.26;1.9
0.01;0.08;0.33;0.92;2.61
0.05;0.06;1.34;1.37;2.75
0.05;0.1;0.69;1.98;3.64
0.09;0.12;0.65;2.19;4.13
0.08;0.28;0.74;0.72;3.69
0.04;0.06;0.05;1.77;6.27
0.03;0.16;0.98;1.47;4.51
0.06;0.11;0.6;0.99;4.59
0.08;0.24;0.12;2.63;5.48
0.05;0.25;0.81;1.25;3.66
0.08;0.12;0.47;1.35;0.9
0.05;0.12;1.21;0.19;4.58
0.06;0.18;0.28;0.81;2.19
0.07;0.19;0.51;0.34;4.52
0.04;0.12;0.38;2.49;3.25
0.01;0.04;0.6;2.3;2.35
0.04;0.06;0.33;2.42;2.33
0.1;0.21;0.75;2.32;6.24
0.07;0.18;1.2;1.82;4.48
0.07;0.12;0.54;0.68;2.74
0.06;0.06;1.23;1.42;3.29
0.05;0.13;0.71;1.53;2.15
0.06;0.15;0.65;0.54;3.27
0.09;0.14;1.03;2.12;1.09
0.05;0.15;0.7;1.2;5.21
0.08;0.17;0.81;0.84;1.7
0.04;0.09;1.04;3.08;4.71
0.04;0.06;0.88;0.4;2.1
0.03;0.02;0.87;1.47;7.41
0.03;0.1;0.43;1.59;3.65
0.07;0.07;0.44;3.01;2.98
0.02;0.15;0.41;1.82;4.51
0.04;0.11;0.94;1.61;2.17
0.05;0.09;0.41;1.89;0.92
0.06;0.08;0.92;2.36;2.6
0.02;0.1;1.25;1.29;2.1
0.05;0.15;0.55;1.27;5.17
0.04;0.27;0.39;0.97;5.62
0.06;0.1;0.82;2.22;4.57
0.04;0.12;0.79;1.35;3.29
0.04;0.08;0.47;2.01;3.45
0.05;0.16;0.74;1.36;3.79
0.09;0.27;0.4;1.35;3.08
0.05;0.14;0.91;1.78;3.75
0.04;0.15;1.1;1.61;3.52
0.02;0.14;0.91;2.58;1.49
0.08;0.1;0.77;0.44;1.94
0.04;0.2;1.17;1.51;2.6
0.06;0.18;0.88;0.86;1.96
0.06;0.12;1.23;1.64;2.02
0.04;0.07;0.78;2.38;0.54
0.06;0.08;0.24;3.18;1.76
0.05;0.03;0.95;1.05;3.55
0.02;0.21;1.1;1.14;4.4
0.09;0.15;1.38;2.83;5.04
0.07;0.17;1.15;1.95;6.19
0.05;0.09;0.62;1.49;5.88
0.08;0.07;0.47;1.8;3.28
0.04;0.06;1.38;1.16;2.59
0.08;0.07;0.41;1.83;4.13
0.08;0.21;1.07;1.09;3.55
0.09;0.1;0.25;1.36;2.4
0.05;0.24;0.72;0.76;0.92
0.06;0.22;1.12;2.19;4.21
0.05;0.09;0.21;1.6;3.94
0.08;0.15;0.15;2.9;4.27
0.05;0.2;0.49;1.7;1.46
0.06;0.13;0.95;1.62;2.72
0.1;0.09;0.63;1.22;3.51
0.03;0.12;1.01;1.54;4.12
0.07;0.12;1.22;0.96;3.71
0.08;0.19;0.65;0.54;2.52
0.06;0.18;0.91;2.5;1.14
0.05;0.15;0.71;3.09;4.12
0.1;0.09;0.43;2.37;2.1
0.09;0.09;1.32;2.36;4.78
0.01;0.09;0.32;1.63;2.43
0.02;0.19;1.4;0.45;2.5
0.05;0.12;0.37;2.23;3.05
0.09;0.09;0.82;2.1;5.16
0.05;0.22;0.47;1.48;2.7
0.07;0.15;1.78;1.6;1.35
0.05;0.09;0.65;2.38;4.43
0.05;0.23;1.2;1.9;3.06
0.05;0.18;0.91;1.83;3.85
0.06;0.12;0.73;2.16;3.46
0.05;0.13;0.28;0.84;3.94
0.06;0.25;1.24;1.82;2.27
0.06;0.21;0.89;1.39;3.52
0.05;0.06;0.37;0.81;1.42
0.09;0.11;0.64;1.92;4.79
0.07;0.11;0.38;0.72;3.94
0.07;0.02;0.43;0.37;2.42
