3 Cat.;6 Cat.;9 Cat.;12 Cat.;15 Cat.;25 Cat.;35 Cat.
0.892;0.912;0.856;0.908;0.856;0.896;0.88
0.928;0.844;0.876;0.86;0.868;0.88;0.86
0.932;0.876;0.876;0.836;0.82;0.892;0.86
0.92;0.872;0.864;0.872;0.86;0.848;0.9
0.864;0.852;0.88;0.892;0.856;0.84;0.86
0.892;0.856;0.84;0.844;0.848;0.852;0.88
0.896;0.86;0.888;0.88;0.916;0.864;0.84
0.916;0.908;0.84;0.876;0.824;0.824;0.816
0.896;0.908;0.844;0.856;0.828;0.86;0.864
0.896;0.848;0.872;0.856;0.872;0.896;0.868
0.916;0.864;0.86;0.876;0.896;0.828;0.832
0.904;0.868;0.872;0.876;0.86;0.856;0.876
0.904;0.872;0.856;0.876;0.836;0.876;0.836
0.884;0.88;0.84;0.856;0.86;0.836;0.88
0.916;0.864;0.868;0.86;0.86;0.868;0.852
0.892;0.864;0.868;0.844;0.856;0.824;0.872
0.916;0.892;0.804;0.872;0.868;0.864;0.848
0.908;0.844;0.832;0.9;0.844;0.868;0.84
0.884;0.892;0.828;0.82;0.852;0.824;0.856
0.856;0.9;0.888;0.844;0.836;0.896;0.848
0.876;0.896;0.88;0.9;0.848;0.868;0.852
0.888;0.888;0.836;0.852;0.848;0.856;0.864
0.88;0.844;0.84;0.864;0.86;0.876;0.876
0.912;0.884;0.876;0.828;0.892;0.852;0.844
0.88;0.876;0.912;0.912;0.9;0.844;0.808
0.884;0.888;0.904;0.868;0.832;0.86;0.872
0.896;0.88;0.896;0.868;0.856;0.828;0.892
0.912;0.86;0.852;0.884;0.864;0.872;0.88
0.924;0.876;0.82;0.864;0.848;0.888;0.84
0.896;0.872;0.828;0.9;0.816;0.856;0.844
0.932;0.872;0.844;0.868;0.856;0.84;0.872
0.896;0.86;0.872;0.896;0.836;0.804;0.848
0.884;0.88;0.884;0.88;0.876;0.844;0.884
0.904;0.864;0.872;0.9;0.828;0.82;0.844
0.916;0.884;0.876;0.86;0.884;0.888;0.86
0.892;0.892;0.9;0.848;0.9;0.888;0.832
0.892;0.868;0.856;0.844;0.896;0.836;0.864
0.888;0.896;0.892;0.848;0.872;0.896;0.868
0.912;0.852;0.856;0.864;0.82;0.864;0.872
0.884;0.888;0.876;0.888;0.872;0.816;0.828
0.916;0.88;0.856;0.892;0.876;0.864;0.836
0.912;0.884;0.884;0.884;0.88;0.852;0.832
0.904;0.872;0.916;0.868;0.884;0.848;0.868
0.896;0.872;0.872;0.884;0.852;0.88;0.864
0.916;0.86;0.852;0.916;0.844;0.836;0.864
0.896;0.864;0.848;0.88;0.856;0.82;0.876
0.924;0.872;0.864;0.844;0.852;0.816;0.876
0.9;0.864;0.872;0.868;0.848;0.868;0.824
0.924;0.9;0.888;0.86;0.872;0.784;0.856
0.896;0.896;0.848;0.828;0.86;0.836;0.844
0.932;0.888;0.876;0.864;0.876;0.868;0.848
0.9;0.864;0.832;0.868;0.884;0.868;0.86
0.928;0.9;0.856;0.872;0.848;0.888;0.856
0.872;0.852;0.872;0.856;0.88;0.864;0.88
0.904;0.896;0.868;0.86;0.852;0.88;0.832
0.912;0.884;0.904;0.796;0.868;0.848;0.884
0.916;0.856;0.836;0.904;0.864;0.86;0.88
0.892;0.86;0.828;0.884;0.88;0.824;0.816
0.884;0.864;0.896;0.84;0.856;0.856;0.88
0.916;0.892;0.88;0.896;0.86;0.824;0.876
0.916;0.868;0.864;0.848;0.88;0.868;0.848
0.852;0.872;0.848;0.856;0.848;0.86;0.876
0.896;0.912;0.852;0.872;0.856;0.868;0.852
0.868;0.88;0.876;0.86;0.86;0.832;0.804
0.916;0.924;0.876;0.86;0.876;0.832;0.9
0.876;0.84;0.876;0.88;0.888;0.844;0.86
0.936;0.892;0.856;0.86;0.864;0.836;0.852
0.94;0.892;0.832;0.896;0.852;0.9;0.868
0.932;0.908;0.84;0.868;0.888;0.856;0.804
0.884;0.872;0.8;0.88;0.848;0.82;0.84
0.908;0.9;0.864;0.848;0.88;0.84;0.868
0.908;0.848;0.872;0.892;0.888;0.868;0.848
0.928;0.868;0.892;0.848;0.852;0.824;0.904
0.896;0.872;0.904;0.872;0.84;0.848;0.824
0.912;0.904;0.884;0.884;0.864;0.88;0.816
0.904;0.892;0.896;0.888;0.892;0.848;0.868
0.864;0.904;0.896;0.852;0.848;0.892;0.9
0.896;0.896;0.836;0.824;0.844;0.844;0.848
0.872;0.852;0.88;0.904;0.888;0.868;0.836
0.888;0.856;0.88;0.856;0.864;0.852;0.872
0.888;0.872;0.816;0.896;0.912;0.844;0.856
0.904;0.9;0.86;0.84;0.824;0.896;0.844
0.872;0.904;0.86;0.876;0.888;0.896;0.872
0.92;0.856;0.824;0.88;0.876;0.876;0.832
0.912;0.88;0.86;0.876;0.88;0.848;0.852
0.888;0.872;0.86;0.876;0.852;0.864;0.832
0.912;0.84;0.896;0.872;0.888;0.92;0.836
0.88;0.852;0.856;0.856;0.844;0.892;0.856
0.868;0.884;0.796;0.864;0.856;0.9;0.86
0.904;0.896;0.884;0.812;0.86;0.832;0.888
0.892;0.884;0.856;0.872;0.88;0.824;0.9
